"country","country_code","avg_CO2","latitude","longitude"
"Malta","MLT",5.70222312629032,35.937496,14.375416
"Myanmar","MMR",0.251858594677419,NA,NA
"Montenegro","MNE",3.18867784912903,42.708678,19.37439
"Mongolia","MNG",5.13349156877419,46.862496,103.846656
"Mozambique","MOZ",0.125427604806452,-18.665695,35.529562
"Mauritania","MRT",0.61462561383871,21.00789,-10.940835
"Mauritius","MUS",2.339157085,-20.348404,57.552152
"Malawi","MWI",0.0663266110322581,-13.254308,34.301525
"Malaysia","MYS",6.04953721048387,4.210484,101.975766
"Niger","NER",0.0729194301290323,17.607789,8.081666
"Nigeria","NGA",0.691122123548387,9.081999,8.675277
"Nicaragua","NIC",0.726825024387097,12.865416,-85.207229
"Netherlands","NLD",9.90439995009677,52.132633,5.291266
"Norway","NOR",7.68002807722581,60.472024,8.468946
"Nepal","NPL",0.183619904580645,28.394857,84.124008
"Nauru","NRU",7.3143322796129,-0.522778,166.931503
"New Zealand","NZL",7.2529487303871,-40.900557,174.885971
"Oman","OMN",12.7186572764839,21.512583,55.923255
"Pakistan","PAK",0.746420372935484,30.375321,69.345116
"Panama","PAN",2.09708224809677,8.537981,-80.782127
"Peru","PER",1.30100390116129,-9.189967,-75.015152
"Philippines","PHL",0.934617238290323,12.879721,121.774017
"Papua New Guinea","PNG",0.638347730387097,-6.314993,143.95555
"Poland","POL",8.20446525954839,51.919438,19.145136
"Korea, Dem. People's Rep.","PRK",2.88862588070968,NA,NA
"Portugal","PRT",5.10727280887097,39.399872,-8.224454
"Paraguay","PRY",0.790049057387097,-23.442503,-58.443832
"Qatar","QAT",38.1767633712903,25.354826,51.183884
"Romania","ROU",4.49454486441936,45.943161,24.96676
"Russian Federation","RUS",11.4792905777419,NA,NA
"Rwanda","RWA",0.0757781899354839,-1.940278,29.873888
"Saudi Arabia","SAU",13.8264194948387,23.885942,45.079162
"Sudan","SDN",0.339801651903226,12.862807,30.217636
"Senegal","SEN",0.482256046548387,14.497401,-14.452362
"Singapore","SGP",9.13808394745161,1.352083,103.819836
"Solomon Islands","SLB",0.589733574193548,-9.64571,160.156194
"Sierra Leone","SLE",0.094584389483871,8.460555,-11.779889
"El Salvador","SLV",0.987775456870968,13.794185,-88.89653
"Somalia","SOM",0.0610328409354839,5.152149,46.199616
"Serbia","SRB",6.55037699009677,44.016521,21.005859
"South Sudan","SSD",0.112667381645161,NA,NA
"Sao Tome and Principe","STP",0.489878038387097,NA,NA
"Suriname","SUR",3.98932616125806,3.919305,-56.027783
"Slovak Republic","SVK",7.04618737077419,NA,NA
"Slovenia","SVN",7.29140087522581,46.151241,14.995463
"Sweden","SWE",5.35311250019355,60.128161,18.643501
"Eswatini","SWZ",0.667115283935484,NA,NA
"Seychelles","SYC",4.32977218412903,-4.679574,55.491977
"Syrian Arab Republic","SYR",2.45301553925806,NA,NA
"Chad","TCD",0.0857557828709677,15.454166,18.732207
"Togo","TGO",0.279482478,8.619543,0.824782
"Thailand","THA",3.07690264874194,15.870032,100.992541
"Tajikistan","TJK",0.636638208645161,38.861034,71.276093
"Turkmenistan","TKM",10.4477077375161,38.969719,59.556278
"Tonga","TON",1.16308082916129,-21.178986,-175.198242
"Trinidad and Tobago","TTO",12.0012701714516,10.691803,-61.222503
"Tunisia","TUN",2.25912790832258,33.886917,9.537499
"Turkiye","TUR",3.70642806758064,NA,NA
"Tuvalu","TUV",0.995877834516129,-7.109535,177.64933
"Tanzania","TZA",0.139514971741935,-6.369028,34.888822
"Uganda","UGA",0.0818138231612903,1.373333,32.290275
"Ukraine","UKR",6.6155980046129,48.379433,31.16558
"Uruguay","URY",1.77180593248387,-32.522779,-55.765835
"United States","USA",18.0392072893548,37.09024,-95.712891
"Uzbekistan","UZB",4.41305509596774,41.377491,64.585262
"St. Vincent and the Grenadines","VCT",2.15919503390323,NA,NA
"Venezuela, RB","VEN",5.29127878222581,NA,NA
"Vietnam","VNM",1.31232041716129,14.058324,108.277199
"Vanuatu","VUT",0.493266170516129,-15.376706,166.959158
"Samoa","WSM",1.0059118946129,-13.759029,-172.104629
"Yemen, Rep.","YEM",0.791547287677419,NA,NA
"South Africa","ZAF",7.32101137041936,-30.559482,22.937506
"Zambia","ZMB",0.255475335870968,-13.133897,27.849332
"Zimbabwe","ZWE",1.04165434058065,-19.015438,29.154857
